TestSet,Column,T_value,Degrees_of_Freedom,N_C1,N_C2,Shapiro_p_C1,Reject_Normality_C1,Shapiro_p_C2,Reject_Normality_C2,Levene_p,Reject_Homoscedasticity,Applied_Test,Test_statistic,Test_p,Effect_Size_Type,Effect_Size
Pre,PerfectAutomation_high_expectation,0.687,18.2,12,30,0.468,False,0.869,False,0.58,False,Welch_t,0.687,0.501,Hedges_g,0.244
Pre,PerfectAutomation_all_or_none,1.01,18,12,30,0.0866,False,0.463,False,0.667,False,Welch_t,1.01,0.328,Hedges_g,0.358
Pre,TrustPropensity,,,12,30,0.423,False,0.0386,True,0.0743,False,MannWhitneyU,198,0.633,RankBiserial,-0.0972
Pre,AutomationExperience,-0.0799,20.5,12,30,0.993,False,0.559,False,0.917,False,Welch_t,-0.0799,0.937,Hedges_g,-0.0266
Pre,AutomationExperience_confidence_mean,-1.65,30.7,12,30,0.554,False,0.701,False,0.116,False,Welch_t,-1.65,0.109,Hedges_g,-0.464
Pre,AutomationExperience_reliance_mean,0.589,16.6,12,30,0.322,False,0.182,False,0.466,False,Welch_t,0.589,0.564,Hedges_g,0.22
Pre,AutomationExperience_trust_mean,1.36,20.1,12,30,0.141,False,0.166,False,0.936,False,Welch_t,1.36,0.187,Hedges_g,0.46
Pre,AutomationExperience_safety_mean,-0.478,22.6,12,30,0.477,False,0.382,False,0.458,False,Welch_t,-0.478,0.637,Hedges_g,-0.152
Post_First,MMTrust,-1.02,14.6,12,30,0.251,False,0.446,False,0.0648,False,Welch_t,-1.02,0.322,Hedges_g,-0.416
Post_First,MM_competence,,,12,30,0.0758,False,0.0091,True,0.00493,True,MannWhitneyU,158,0.549,RankBiserial,0.122
Post_First,MM_predictability,,,12,30,0.559,False,0.0059,True,0.648,False,MannWhitneyU,210,0.403,RankBiserial,-0.169
Post_First,MM_dependability,,,12,30,0.0308,True,0.0152,True,0.171,False,MannWhitneyU,184,0.911,RankBiserial,-0.025
Post_First,MM_responsibility,,,12,29,0.173,False,0.0458,True,0.222,False,MannWhitneyU,166,0.83,RankBiserial,0.046
Post_First,MM_reliability,,,12,30,0.0215,True,0.0438,True,0.0185,True,MannWhitneyU,174,0.867,RankBiserial,0.0361
Post_First,MM_faith,,,12,30,0.142,False,0.0119,True,0.0549,False,MannWhitneyU,132,0.186,RankBiserial,0.267
Post_First,JianTrust,-1.18,15.3,12,30,0.198,False,0.096,False,0.0527,False,Welch_t,-1.18,0.256,Hedges_g,-0.465
Post_First,Jian_distrust,,,12,28,0.11,False,0.0421,True,0.00488,True,MannWhitneyU,214,0.184,RankBiserial,-0.271
Post_First,Jian_trust,-0.695,16.9,12,30,0.529,False,0.123,False,0.298,False,Welch_t,-0.695,0.497,Hedges_g,-0.257
Post_First,MWL,2.24,16.3,12,30,0.996,False,0.213,False,0.429,False,Welch_t,2.24,0.0395,Hedges_g,0.846
Post_First,MWL_performance,,,12,30,0.0602,False,0.00538,True,0.78,False,MannWhitneyU,127,0.14,RankBiserial,0.294
Post_First,MWL_rest,2.55,17,12,30,0.957,False,0.38,False,0.554,False,Welch_t,2.55,0.0209,Hedges_g,0.938
Post_Second,MMTrust,,,12,30,0.668,False,0.0303,True,0.616,False,MannWhitneyU,173,0.856,RankBiserial,0.0389
Post_Second,MM_competence,,,12,30,0.22,False,0.000469,True,0.735,False,MannWhitneyU,166,0.707,RankBiserial,0.0778
Post_Second,MM_predictability,,,12,30,0.0475,True,0.00467,True,0.469,False,MannWhitneyU,248,0.062,RankBiserial,-0.375
Post_Second,MM_dependability,,,12,30,0.0304,True,0.000448,True,0.558,False,MannWhitneyU,147,0.365,RankBiserial,0.183
Post_Second,MM_responsibility,,,12,29,0.00354,True,0.000748,True,0.577,False,MannWhitneyU,155,0.595,RankBiserial,0.109
Post_Second,MM_reliability,,,12,30,0.0848,False,0.00155,True,0.98,False,MannWhitneyU,172,0.834,RankBiserial,0.0444
Post_Second,MM_faith,,,12,30,0.121,False,0.0177,True,0.711,False,MannWhitneyU,126,0.136,RankBiserial,0.3
Post_Second,JianTrust,,,12,30,0.164,False,0.00259,True,0.818,False,MannWhitneyU,138,0.248,RankBiserial,0.233
Post_Second,Jian_distrust,,,12,29,0.2,False,3.7e-05,True,0.392,False,MannWhitneyU,252,0.0263,RankBiserial,-0.448
Post_Second,Jian_trust,,,12,30,0.216,False,0.0111,True,0.824,False,MannWhitneyU,155,0.495,RankBiserial,0.139
Post_Second,MWL,1.56,16,12,30,0.526,False,0.0572,False,0.471,False,Welch_t,1.56,0.139,Hedges_g,0.595
Post_Second,MWL_performance,,,12,30,0.327,False,0.00113,True,0.00387,True,MannWhitneyU,78.5,0.00465,RankBiserial,0.564
Post_Second,MWL_rest,2.21,16.9,12,30,0.592,False,0.0796,False,0.595,False,Welch_t,2.21,0.0415,Hedges_g,0.817
