TestSet,Column,T_value,Degrees_of_Freedom,N_C1,N_C2,Shapiro_p_C1,Reject_Normality_C1,Shapiro_p_C2,Reject_Normality_C2,Levene_p,Reject_Homoscedasticity,Applied_Test,Test_statistic,Test_p,Effect_Size_Type,Effect_Size
Pre,PerfectAutomation_high_expectation,0.178,14.3,10,32,0.876,False,0.407,False,0.692,False,Welch_t,0.178,0.861,Hedges_g,0.0654
Pre,PerfectAutomation_all_or_none,1.08,18.3,10,32,0.573,False,0.19,False,0.43,False,Welch_t,1.08,0.294,Hedges_g,0.344
Pre,TrustPropensity,,,10,32,0.229,False,0.0427,True,0.349,False,MannWhitneyU,143,0.623,RankBiserial,0.106
Pre,AutomationExperience,-2.1,15.8,10,32,0.329,False,0.212,False,0.978,False,Welch_t,-2.1,0.0519,Hedges_g,-0.726
Pre,AutomationExperience_confidence_mean,-0.236,13.6,10,32,0.786,False,0.18,False,0.682,False,Welch_t,-0.236,0.817,Hedges_g,-0.09
Pre,AutomationExperience_reliance_mean,,,10,32,0.42,False,0.0377,True,0.365,False,MannWhitneyU,126,0.319,RankBiserial,0.213
Pre,AutomationExperience_trust_mean,-1.12,13,10,32,0.857,False,0.26,False,0.399,False,Welch_t,-1.12,0.282,Hedges_g,-0.444
Pre,AutomationExperience_safety_mean,-3.98,16.3,10,32,0.838,False,0.0832,False,0.922,False,Welch_t,-3.98,0.00105,Hedges_g,-1.35
Post_First,MMTrust,-4.04,13.2,10,32,0.567,False,0.197,False,0.555,False,Welch_t,-4.04,0.00137,Hedges_g,-1.58
Post_First,MM_competence,,,10,32,0.537,False,0.000501,True,0.03,True,MannWhitneyU,37.5,0.000314,RankBiserial,0.766
Post_First,MM_predictability,,,10,32,0.387,False,0.0104,True,0.48,False,MannWhitneyU,144,0.636,RankBiserial,0.103
Post_First,MM_dependability,,,10,32,0.949,False,0.00229,True,0.298,False,MannWhitneyU,32.5,0.000174,RankBiserial,0.797
Post_First,MM_responsibility,,,10,31,0.408,False,0.00833,True,0.672,False,MannWhitneyU,92.5,0.0594,RankBiserial,0.403
Post_First,MM_reliability,,,10,32,0.904,False,0.000423,True,0.312,False,MannWhitneyU,56,0.00222,RankBiserial,0.65
Post_First,MM_faith,,,10,32,0.616,False,0.000793,True,0.124,False,MannWhitneyU,59,0.00298,RankBiserial,0.631
Post_First,JianTrust,,,10,32,0.584,False,0.0106,True,0.482,False,MannWhitneyU,37,0.000297,RankBiserial,0.769
Post_First,Jian_distrust,,,10,30,0.297,False,5.29e-05,True,0.827,False,MannWhitneyU,252,0.00152,RankBiserial,-0.68
Post_First,Jian_trust,-4.48,12.9,10,32,0.301,False,0.172,False,0.461,False,Welch_t,-4.48,0.000635,Hedges_g,-1.78
Post_First,MWL,-0.123,20.6,10,32,0.313,False,0.122,False,0.244,False,Welch_t,-0.123,0.904,Hedges_g,-0.0369
Post_First,MWL_performance,0.358,13.5,10,32,0.1,False,0.0506,False,0.745,False,Welch_t,0.358,0.726,Hedges_g,0.137
Post_First,MWL_rest,-0.14,20.6,10,32,0.214,False,0.201,False,0.271,False,Welch_t,-0.14,0.89,Hedges_g,-0.0421
Post_Second,MMTrust,,,10,32,0.783,False,0.0344,True,0.574,False,MannWhitneyU,39.5,0.000394,RankBiserial,0.753
Post_Second,MM_competence,,,10,32,0.577,False,0.000182,True,0.104,False,MannWhitneyU,50,0.00121,RankBiserial,0.688
Post_Second,MM_predictability,,,10,32,0.404,False,0.00645,True,0.483,False,MannWhitneyU,195,0.308,RankBiserial,-0.219
Post_Second,MM_dependability,,,10,32,0.281,False,2.09e-05,True,0.0583,False,MannWhitneyU,69,0.00746,RankBiserial,0.569
Post_Second,MM_responsibility,,,10,31,0.495,False,3.23e-05,True,0.248,False,MannWhitneyU,55,0.00245,RankBiserial,0.645
Post_Second,MM_reliability,,,10,32,0.414,False,0.000178,True,0.704,False,MannWhitneyU,49.5,0.00115,RankBiserial,0.691
Post_Second,MM_faith,,,10,32,0.993,False,0.0141,True,0.56,False,MannWhitneyU,37.5,0.000313,RankBiserial,0.766
Post_Second,JianTrust,,,10,32,0.292,False,0.00255,True,0.918,False,MannWhitneyU,36.5,0.000281,RankBiserial,0.772
Post_Second,Jian_distrust,,,10,31,0.926,False,6.73e-05,True,0.133,False,MannWhitneyU,257,0.00205,RankBiserial,-0.658
Post_Second,Jian_trust,,,10,32,0.826,False,0.00995,True,0.501,False,MannWhitneyU,35,0.000236,RankBiserial,0.781
Post_Second,MWL,0.214,16.6,10,32,0.523,False,0.0575,False,0.814,False,Welch_t,0.214,0.833,Hedges_g,0.0718
Post_Second,MWL_performance,,,10,32,0.406,False,3.21e-05,True,0.506,False,MannWhitneyU,124,0.291,RankBiserial,0.225
Post_Second,MWL_rest,0.406,17.3,10,32,0.397,False,0.0862,False,0.805,False,Welch_t,0.406,0.69,Hedges_g,0.133
