PID,Age,Gender,Ethnicity,GamingFrequency,VRExperience,VRHeadsetExperience,AGVInteraction,PerfectAutomation_high_expectation,PerfectAutomation_all_or_none,TrustPropensity,AutomationExperience,AutomationExperience_confidence_mean,AutomationExperience_reliance_mean,AutomationExperience_trust_mean,AutomationExperience_safety_mean
001,28,1,5,Frequently,Moderately experienced,Moderately experienced,Never,4.75,2.0,3.667,3.917,4.0,3.667,4.0,4.0
002,26,1,2,Occasionally,Very Experienced,Very Experienced,Never,2.25,1.667,3.0,5.667,6.0,6.0,5.333,5.0
003,24,1,5,Occasionally,Moderately experienced,Neither Inexperienced or Experienced,Very rarely,1.75,2.0,3.0,3.333,4.75,3.0,3.0,1.5
004,31,2,2,Very rarely,Moderately experienced,Moderately experienced,Never,3.25,3.333,2.833,5.0,4.75,6.667,4.333,4.0
006,54,1,5,Occasionally,Experienced,Experienced,Never,3.5,3.0,3.167,4.333,5.25,4.0,4.0,3.5
007,27,1,2,Frequently,Very Inexperienced,Unfamiliar,Never,1.5,2.333,3.5,5.583,6.0,6.0,4.667,5.5
008,28,1,6,Very rarely,Unfamiliar,Unfamiliar,Never,5.5,2.667,3.833,5.667,7.0,6.667,4.0,4.0
009,19,1,5,Never,Unfamiliar,Unfamiliar,Never,3.25,3.333,3.5,4.75,4.5,5.333,5.333,3.5
010,37,1,3,Very rarely,Inexperienced,Neither Inexperienced or Experienced,Never,2.5,1.667,2.667,4.417,4.75,4.667,3.667,4.5
011,19,1,2,Very rarely,Very Inexperienced,Inexperienced,Never,3.75,2.667,3.167,4.636,5.0,4.333,4.667,4.5
012,20,1,5,Occasionally,Moderately experienced,Moderately experienced,Never,5.0,2.333,3.667,4.25,5.0,4.333,3.0,4.5
013,20,2,5,Very rarely,Moderately experienced,Moderately experienced,Never,3.0,2.667,2.5,3.667,4.0,4.0,3.333,3.0
014,21,1,5,Frequently,Inexperienced,Very Inexperienced,Never,2.5,3.333,2.667,4.083,4.25,3.667,4.0,4.5
015,19,3,5,Very frequently,Neither Inexperienced or Experienced,Neither Inexperienced or Experienced,Very rarely,3.75,1.667,3.667,5.167,5.0,4.333,5.333,6.5
016,30,2,2,Very rarely,Unfamiliar,Unfamiliar,Never,3.25,2.333,3.167,5.917,6.75,5.667,4.333,7.0
017,20,1,2,Very frequently,Neither Inexperienced or Experienced,Neither Inexperienced or Experienced,Never,4.25,3.0,3.5,4.333,6.5,5.0,3.0,1.0
019,23,1,2,Occasionally,Moderately experienced,Moderately experienced,Never,3.75,4.333,3.333,4.25,4.25,4.667,3.667,4.5
